nation	o_year	sum_profit
GERMANY	1995	46452546330.080345
GERMANY	1994	46466402245.74165
GERMANY	1993	46470731368.29867
GERMANY	1992	46591585957.05256
INDIA	1998	27308092904.967136
INDIA	1997	46593129427.93757
INDIA	1996	46684432718.3249
INDIA	1995	46542895649.48995
INDIA	1994	46481826697.711716
INDIA	1993	46529426506.070564
INDIA	1992	46669048616.71375
INDONESIA	1998	27406524795.82382
INDONESIA	1997	46695720581.877464
INDONESIA	1996	46794768785.29805
INDONESIA	1995	46639678405.03048
INDONESIA	1994	46708679444.36766
INDONESIA	1993	46638049508.33499
INDONESIA	1992	46820704284.23983
IRAN	1998	27290877610.3671
IRAN	1997	46399980252.46281
IRAN	1996	46565652248.830734
IRAN	1995	46451020249.651955
IRAN	1994	46571241667.318245
IRAN	1993	46487735114.902245
IRAN	1992	46586216459.61943
IRAQ	1998	27265956716.867283
IRAQ	1997	46559714843.0486
IRAQ	1996	46553540264.78329
IRAQ	1995	46415462135.59109
IRAQ	1994	46451204774.01546
IRAQ	1993	46480655695.76418
IRAQ	1992	46649223471.23423
JAPAN	1998	27346346820.0814
JAPAN	1997	46521215471.348724
JAPAN	1996	46667978548.0269
JAPAN	1995	46573580894.49425
JAPAN	1994	46581830900.95469
JAPAN	1993	46537597865.35996
JAPAN	1992	46669624134.54847
JORDAN	1998	27204559872.364418
JORDAN	1997	46482207483.90107
JORDAN	1996	46605619420.28927
JORDAN	1995	46535152738.812904
JORDAN	1994	46518196783.79808
JORDAN	1993	46428770711.51961
JORDAN	1992	46633058808.7151
KENYA	1998	27295556542.386917
KENYA	1997	46495459618.13058
KENYA	1996	46586083508.2346
KENYA	1995	46487906614.3773
KENYA	1994	46442044501.06157
KENYA	1993	46426245812.1254
KENYA	1992	46608537906.69671
MOROCCO	1998	27295928472.754875
MOROCCO	1997	46511860672.38042
MOROCCO	1996	46599614103.76703
MOROCCO	1995	46500259021.211296
MOROCCO	1994	46479117393.01992
MOROCCO	1993	46560464575.08325
MOROCCO	1992	46708065026.264694
MOZAMBIQUE	1998	27314854177.187653
MOZAMBIQUE	1997	46618298907.113945
MOZAMBIQUE	1996	46793857080.56268
MOZAMBIQUE	1995	46610901785.61957
MOZAMBIQUE	1994	46636598881.19359
MOZAMBIQUE	1993	46551838594.20387
MOZAMBIQUE	1992	46754307440.11481
PERU	1998	27377204662.86964
PERU	1997	46626096990.71951
PERU	1996	46763316079.83852
PERU	1995	46736161651.03645
PERU	1994	46726529762.258545
PERU	1993	46685898955.089806
PERU	1992	46753099756.91747
ROMANIA	1998	27275729772.14811
ROMANIA	1997	46625431759.80706
ROMANIA	1996	46819031117.52067
ROMANIA	1995	46587632442.93979
ROMANIA	1994	46693228482.8816
ROMANIA	1993	46647052882.95428
ROMANIA	1992	46830623226.68934
RUSSIA	1998	27262223462.292477
RUSSIA	1997	46459055987.47405
RUSSIA	1996	46568067633.54347
RUSSIA	1995	46387842743.74152
RUSSIA	1994	46494907104.99685
RUSSIA	1993	46410178097.23508
RUSSIA	1992	46587077580.656586
SAUDI ARABIA	1998	27300893599.78263
SAUDI ARABIA	1997	46565951120.750595
SAUDI ARABIA	1996	46752979410.63167
SAUDI ARABIA	1995	46603255010.69268
SAUDI ARABIA	1994	46571132729.05084
SAUDI ARABIA	1993	46505578111.36941
SAUDI ARABIA	1992	46751943881.20086
UNITED KINGDOM	1998	27240248014.501686
UNITED KINGDOM	1997	46490900664.79089
UNITED KINGDOM	1996	46585367409.20244
UNITED KINGDOM	1995	46490318190.73172
UNITED KINGDOM	1994	46479123815.461685
UNITED KINGDOM	1993	46535439518.82112
UNITED KINGDOM	1992	46533693541.10107
UNITED STATES	1998	27218187172.830956
UNITED STATES	1997	46331330678.03932
UNITED STATES	1996	46513273049.8665
UNITED STATES	1995	46485278799.99248
UNITED STATES	1994	46473389674.824936
UNITED STATES	1993	46399996555.00483
UNITED STATES	1992	46513503262.864624
VIETNAM	1998	27321988858.80227
VIETNAM	1997	46611160320.69585
VIETNAM	1996	46754625946.19715
VIETNAM	1995	46635682880.10805
VIETNAM	1994	46551171869.76823
VIETNAM	1993	46485232130.367455
VIETNAM	1992	46753804757.722855
