p_brand	p_type	p_size	supplier_cnt
Brand#52	ECONOMY BURNISHED COPPER	36	4565
Brand#55	SMALL POLISHED BRASS	19	4565
Brand#12	ECONOMY POLISHED STEEL	14	4564
Brand#13	PROMO BURNISHED COPPER	3	4564
Brand#34	MEDIUM BURNISHED COPPER	9	4564
Brand#54	SMALL BRUSHED BRASS	3	4564
Brand#15	STANDARD BURNISHED TIN	3	4563
Brand#21	STANDARD POLISHED STEEL	23	4563
Brand#35	MEDIUM BURNISHED STEEL	49	4563
Brand#23	LARGE BRUSHED BRASS	19	4562
Brand#42	SMALL BURNISHED NICKEL	45	4562
Brand#21	STANDARD POLISHED COPPER	45	4561
Brand#22	SMALL BURNISHED NICKEL	45	4561
Brand#31	ECONOMY BURNISHED TIN	3	4561
Brand#42	PROMO ANODIZED BRASS	45	4561
Brand#55	MEDIUM PLATED TIN	49	4561
Brand#11	ECONOMY POLISHED COPPER	23	4560
Brand#11	SMALL ANODIZED TIN	9	4560
Brand#14	LARGE ANODIZED BRASS	3	4560
Brand#15	MEDIUM PLATED NICKEL	49	4560
Brand#34	ECONOMY BURNISHED STEEL	3	4560
Brand#34	SMALL PLATED TIN	3	4560
Brand#35	SMALL PLATED STEEL	19	4560
Brand#43	PROMO ANODIZED BRASS	3	4560
Brand#31	LARGE POLISHED BRASS	45	4559
Brand#32	PROMO BRUSHED TIN	3	4559
Brand#33	ECONOMY BRUSHED COPPER	9	4559
Brand#33	STANDARD BRUSHED BRASS	36	4559
Brand#42	MEDIUM BURNISHED COPPER	14	4559
Brand#44	PROMO BURNISHED BRASS	45	4559
Brand#51	STANDARD ANODIZED COPPER	14	4559
Brand#24	SMALL BRUSHED BRASS	14	4558
Brand#25	LARGE POLISHED STEEL	9	4558
Brand#33	ECONOMY BRUSHED NICKEL	14	4558
Brand#33	SMALL POLISHED NICKEL	49	4558
Brand#34	ECONOMY BURNISHED STEEL	49	4558
Brand#52	LARGE PLATED BRASS	19	4558
Brand#52	SMALL BRUSHED NICKEL	23	4558
Brand#53	PROMO BURNISHED NICKEL	36	4558
Brand#53	SMALL BURNISHED COPPER	45	4558
Brand#15	ECONOMY BRUSHED COPPER	36	4557
Brand#22	LARGE ANODIZED COPPER	14	4557
Brand#25	MEDIUM BRUSHED NICKEL	45	4557
Brand#25	STANDARD BURNISHED BRASS	49	4557
Brand#31	LARGE BURNISHED NICKEL	23	4557
Brand#41	MEDIUM BURNISHED BRASS	49	4557
Brand#44	LARGE BURNISHED BRASS	9	4557
Brand#21	MEDIUM PLATED BRASS	3	4556
Brand#22	SMALL PLATED NICKEL	19	4556
Brand#24	LARGE PLATED TIN	45	4556
Brand#24	MEDIUM BRUSHED NICKEL	14	4556
Brand#34	STANDARD POLISHED TIN	3	4556
Brand#35	ECONOMY POLISHED COPPER	9	4556
Brand#42	SMALL ANODIZED TIN	49	4556
Brand#53	LARGE PLATED BRASS	49	4556
Brand#12	STANDARD POLISHED BRASS	14	4555
Brand#15	MEDIUM BRUSHED COPPER	45	4555
Brand#32	SMALL PLATED NICKEL	36	4555
Brand#54	SMALL ANODIZED BRASS	3	4555
Brand#15	MEDIUM PLATED TIN	45	4554
Brand#25	SMALL ANODIZED BRASS	45	4554
Brand#32	PROMO PLATED NICKEL	36	4554
Brand#34	STANDARD ANODIZED TIN	14	4554
Brand#52	STANDARD PLATED BRASS	3	4554
Brand#53	STANDARD BURNISHED TIN	45	4554
Brand#53	STANDARD POLISHED NICKEL	14	4554
Brand#13	STANDARD ANODIZED STEEL	14	4553
Brand#14	STANDARD BRUSHED TIN	36	4553
Brand#41	LARGE ANODIZED TIN	36	4553
Brand#41	LARGE BURNISHED STEEL	49	4553
Brand#43	PROMO BURNISHED TIN	49	4553
Brand#52	LARGE BURNISHED STEEL	49	4553
Brand#52	LARGE POLISHED NICKEL	9	4553
Brand#13	STANDARD PLATED NICKEL	9	4552
Brand#15	SMALL BURNISHED TIN	36	4552
Brand#15	STANDARD ANODIZED BRASS	19	4552
Brand#25	PROMO ANODIZED NICKEL	19	4552
Brand#31	ECONOMY POLISHED NICKEL	19	4552
Brand#41	STANDARD BURNISHED NICKEL	36	4552
Brand#42	ECONOMY BRUSHED STEEL	19	4552
Brand#53	SMALL PLATED COPPER	3	4552
Brand#11	SMALL ANODIZED NICKEL	9	4551
Brand#12	PROMO BURNISHED NICKEL	19	4551
Brand#14	MEDIUM BRUSHED NICKEL	14	4551
Brand#21	MEDIUM BURNISHED COPPER	9	4551
Brand#34	STANDARD PLATED BRASS	14	4551
Brand#41	PROMO BURNISHED STEEL	14	4551
Brand#13	SMALL BRUSHED NICKEL	45	4550
Brand#22	STANDARD ANODIZED STEEL	36	4550
Brand#23	ECONOMY BURNISHED COPPER	36	4550
Brand#24	LARGE BURNISHED TIN	23	4550
Brand#24	PROMO ANODIZED NICKEL	36	4550
Brand#34	PROMO PLATED TIN	9	4550
Brand#34	STANDARD BURNISHED NICKEL	19	4550
Brand#35	PROMO BURNISHED NICKEL	19	4550
Brand#41	LARGE POLISHED COPPER	36	4550
Brand#52	ECONOMY ANODIZED COPPER	9	4550
Brand#23	STANDARD BRUSHED STEEL	3	4549
Brand#33	PROMO BURNISHED COPPER	3	4549
Brand#44	SMALL POLISHED STEEL	23	4549
Brand#31	PROMO BURNISHED COPPER	19	4548
Brand#32	PROMO BRUSHED NICKEL	19	4548
Brand#34	ECONOMY POLISHED BRASS	23	4548
Brand#34	SMALL BRUSHED TIN	45	4548
Brand#55	MEDIUM PLATED STEEL	49	4548
Brand#23	PROMO POLISHED TIN	3	4547
Brand#25	STANDARD BRUSHED BRASS	45	4547
Brand#32	LARGE POLISHED COPPER	49	4547
Brand#42	LARGE BRUSHED STEEL	36	4547
Brand#51	ECONOMY ANODIZED NICKEL	45	4547
Brand#12	ECONOMY BURNISHED TIN	9	4546
Brand#24	LARGE BRUSHED NICKEL	14	4546
Brand#33	ECONOMY PLATED NICKEL	49	4546
Brand#42	STANDARD BRUSHED NICKEL	45	4546
Brand#51	ECONOMY PLATED NICKEL	49	4546
Brand#51	PROMO ANODIZED COPPER	45	4546
Brand#13	SMALL BRUSHED BRASS	49	4545
Brand#53	SMALL BRUSHED STEEL	3	4545
Brand#13	PROMO PLATED BRASS	9	4544
Brand#15	LARGE POLISHED BRASS	3	4544
Brand#21	STANDARD ANODIZED TIN	14	4544
Brand#24	MEDIUM BRUSHED NICKEL	45	4544
Brand#31	LARGE ANODIZED STEEL	36	4544
Brand#31	MEDIUM BRUSHED COPPER	45	4544
Brand#32	LARGE BRUSHED STEEL	3	4544
Brand#34	MEDIUM PLATED TIN	9	4544
Brand#42	SMALL BRUSHED TIN	45	4544
Brand#43	LARGE PLATED TIN	36	4544
Brand#43	PROMO BURNISHED COPPER	3	4544
Brand#44	STANDARD BURNISHED BRASS	3	4544
Brand#53	STANDARD BURNISHED COPPER	45	4544
Brand#13	LARGE ANODIZED COPPER	49	4543
Brand#13	LARGE BURNISHED STEEL	45	4543
Brand#22	LARGE POLISHED COPPER	45	4543
Brand#23	LARGE BRUSHED TIN	49	4543
Brand#43	STANDARD ANODIZED STEEL	23	4543
Brand#14	LARGE ANODIZED STEEL	3	4542
Brand#35	PROMO POLISHED TIN	45	4542
Brand#55	MEDIUM PLATED TIN	3	4542
Brand#11	ECONOMY BURNISHED COPPER	14	4541
Brand#12	SMALL POLISHED STEEL	49	4541
Brand#13	LARGE BRUSHED NICKEL	3	4541
Brand#13	SMALL POLISHED TIN	45	4541
Brand#25	PROMO BRUSHED COPPER	49	4541
Brand#51	SMALL BURNISHED BRASS	19	4541
Brand#54	PROMO PLATED STEEL	45	4541
Brand#12	STANDARD ANODIZED TIN	9	4540
Brand#14	STANDARD POLISHED COPPER	9	4540
Brand#15	MEDIUM ANODIZED STEEL	3	4540
Brand#22	PROMO PLATED COPPER	23	4540
Brand#23	STANDARD BRUSHED TIN	49	4540
Brand#32	PROMO PLATED NICKEL	19	4540
Brand#34	STANDARD ANODIZED BRASS	19	4540
Brand#44	PROMO BRUSHED BRASS	49	4540
Brand#44	PROMO POLISHED BRASS	23	4540
Brand#51	STANDARD ANODIZED STEEL	14	4540
Brand#14	STANDARD ANODIZED TIN	45	4539
Brand#21	LARGE PLATED BRASS	19	4539
Brand#24	LARGE BURNISHED NICKEL	49	4539
Brand#32	STANDARD BRUSHED STEEL	19	4539
Brand#41	SMALL BURNISHED NICKEL	23	4539
Brand#41	STANDARD BRUSHED NICKEL	3	4539
Brand#55	SMALL ANODIZED BRASS	23	4539
Brand#13	ECONOMY PLATED NICKEL	23	4538
Brand#21	PROMO PLATED NICKEL	45	4538
Brand#33	MEDIUM BURNISHED NICKEL	3	4538
Brand#34	PROMO POLISHED NICKEL	3	4538
Brand#42	ECONOMY POLISHED COPPER	23	4538
Brand#42	LARGE BRUSHED BRASS	19	4538
Brand#44	PROMO BRUSHED NICKEL	36	4538
Brand#51	LARGE PLATED NICKEL	23	4538
Brand#51	SMALL BRUSHED NICKEL	36	4538
Brand#54	SMALL ANODIZED NICKEL	45	4538
Brand#12	SMALL ANODIZED STEEL	49	4537
Brand#13	ECONOMY POLISHED STEEL	23	4537
Brand#13	STANDARD BURNISHED TIN	45	4537
Brand#15	PROMO BURNISHED TIN	3	4537
Brand#22	LARGE BRUSHED STEEL	45	4537
Brand#23	LARGE POLISHED STEEL	14	4537
Brand#24	PROMO BRUSHED BRASS	9	4537
Brand#35	ECONOMY POLISHED TIN	49	4537
Brand#41	PROMO PLATED STEEL	19	4537
Brand#13	MEDIUM BURNISHED STEEL	14	4536
Brand#15	SMALL BRUSHED BRASS	19	4536
Brand#23	MEDIUM PLATED TIN	23	4536
Brand#24	PROMO POLISHED NICKEL	36	4536
Brand#24	STANDARD ANODIZED TIN	3	4536
Brand#25	LARGE BURNISHED NICKEL	36	4536
Brand#25	MEDIUM BURNISHED NICKEL	49	4536
Brand#31	LARGE ANODIZED BRASS	49	4536
Brand#32	PROMO POLISHED STEEL	23	4536
Brand#54	ECONOMY BRUSHED COPPER	36	4536
Brand#54	MEDIUM BURNISHED STEEL	14	4536
Brand#12	PROMO PLATED TIN	23	4535
Brand#12	SMALL POLISHED NICKEL	23	4535
Brand#14	LARGE BRUSHED NICKEL	45	4535
Brand#14	LARGE POLISHED TIN	45	4535
Brand#21	STANDARD ANODIZED NICKEL	49	4535
Brand#32	PROMO POLISHED COPPER	19	4535
Brand#44	LARGE ANODIZED TIN	23	4535
Brand#52	PROMO PLATED STEEL	36	4535
Brand#52	SMALL POLISHED COPPER	49	4535
Brand#14	MEDIUM BRUSHED COPPER	49	4534
Brand#14	PROMO POLISHED BRASS	9	4534
Brand#23	PROMO POLISHED BRASS	14	4534
Brand#24	MEDIUM PLATED BRASS	23	4534
Brand#32	PROMO ANODIZED COPPER	49	4534
Brand#33	ECONOMY ANODIZED COPPER	23	4534
Brand#33	SMALL BRUSHED TIN	14	4534
Brand#52	PROMO PLATED COPPER	3	4534
Brand#53	ECONOMY PLATED NICKEL	9	4534
Brand#12	PROMO PLATED STEEL	23	4533
Brand#21	PROMO BRUSHED TIN	36	4533
Brand#35	LARGE BURNISHED NICKEL	23	4533
Brand#41	PROMO BRUSHED COPPER	45	4533
Brand#53	LARGE BRUSHED TIN	14	4533
Brand#12	LARGE PLATED STEEL	23	4532
Brand#15	PROMO BRUSHED TIN	19	4532
Brand#21	STANDARD BRUSHED TIN	19	4532
Brand#23	ECONOMY BRUSHED TIN	3	4532
Brand#25	STANDARD POLISHED TIN	49	4532
Brand#31	MEDIUM ANODIZED NICKEL	19	4532
Brand#33	ECONOMY ANODIZED NICKEL	49	4532
Brand#34	STANDARD BRUSHED TIN	3	4532
Brand#41	ECONOMY PLATED BRASS	45	4532
Brand#42	LARGE PLATED NICKEL	14	4532
Brand#43	ECONOMY POLISHED BRASS	36	4532
Brand#12	SMALL BURNISHED TIN	23	4531
Brand#14	LARGE ANODIZED NICKEL	9	4531
Brand#21	LARGE BURNISHED COPPER	14	4531
Brand#22	STANDARD BURNISHED NICKEL	19	4531
Brand#23	MEDIUM ANODIZED BRASS	19	4531
Brand#34	STANDARD BRUSHED NICKEL	49	4531
Brand#41	ECONOMY PLATED TIN	19	4531
Brand#41	MEDIUM BURNISHED TIN	9	4531
Brand#42	SMALL PLATED COPPER	36	4531
Brand#12	MEDIUM BURNISHED NICKEL	14	4530
Brand#12	SMALL BURNISHED TIN	14	4530
Brand#15	SMALL POLISHED NICKEL	49	4530
Brand#24	MEDIUM ANODIZED COPPER	14	4530
Brand#32	SMALL BRUSHED NICKEL	3	4530
Brand#33	LARGE ANODIZED STEEL	45	4530
Brand#41	PROMO ANODIZED TIN	14	4530
Brand#43	STANDARD BRUSHED COPPER	36	4530
Brand#44	LARGE BURNISHED NICKEL	45	4530
Brand#44	PROMO BRUSHED TIN	9	4530
Brand#54	MEDIUM BRUSHED BRASS	45	4530
Brand#55	LARGE BURNISHED STEEL	45	4530
Brand#12	ECONOMY POLISHED TIN	45	4529
Brand#24	ECONOMY BRUSHED TIN	36	4529
Brand#32	PROMO PLATED NICKEL	9	4529
Brand#34	LARGE BRUSHED TIN	19	4529
Brand#41	ECONOMY BURNISHED BRASS	45	4529
Brand#53	MEDIUM ANODIZED BRASS	45	4529
Brand#55	ECONOMY BRUSHED STEEL	14	4529
Brand#15	PROMO PLATED COPPER	23	4528
Brand#24	PROMO BURNISHED STEEL	19	4528
Brand#35	SMALL BRUSHED BRASS	23	4528
Brand#53	SMALL PLATED TIN	23	4528
Brand#54	ECONOMY POLISHED BRASS	9	4528
Brand#14	STANDARD BURNISHED TIN	9	4527
Brand#21	STANDARD POLISHED COPPER	49	4527
Brand#32	PROMO ANODIZED COPPER	23	4527
Brand#34	SMALL POLISHED BRASS	45	4527
Brand#42	PROMO ANODIZED BRASS	49	4527
Brand#52	SMALL BRUSHED BRASS	19	4527
Brand#13	MEDIUM BRUSHED BRASS	3	4526
Brand#15	SMALL BRUSHED STEEL	19	4526
Brand#22	SMALL BURNISHED COPPER	49	4526
Brand#25	STANDARD ANODIZED STEEL	36	4526
Brand#41	LARGE ANODIZED COPPER	14	4526
Brand#52	LARGE BURNISHED TIN	36	4526
Brand#53	STANDARD BRUSHED COPPER	49	4526
Brand#11	SMALL PLATED TIN	49	4525
Brand#12	SMALL ANODIZED BRASS	19	4525
Brand#12	STANDARD BRUSHED TIN	45	4525
Brand#14	LARGE ANODIZED NICKEL	3	4525
Brand#15	ECONOMY BURNISHED COPPER	49	4525
Brand#22	PROMO POLISHED TIN	23	4525
Brand#43	STANDARD POLISHED STEEL	14	4525
Brand#51	STANDARD PLATED BRASS	49	4525
Brand#53	PROMO BURNISHED BRASS	23	4525
Brand#54	MEDIUM ANODIZED COPPER	14	4525
Brand#13	MEDIUM PLATED NICKEL	45	4524
Brand#21	ECONOMY ANODIZED STEEL	19	4524
Brand#21	PROMO BURNISHED NICKEL	14	4524
Brand#24	LARGE BRUSHED STEEL	49	4524
Brand#25	MEDIUM ANODIZED COPPER	36	4524
Brand#35	ECONOMY POLISHED NICKEL	9	4524
Brand#42	LARGE POLISHED TIN	19	4524
Brand#52	ECONOMY BURNISHED TIN	9	4524
Brand#52	MEDIUM BURNISHED STEEL	23	4524
Brand#52	PROMO ANODIZED TIN	19	4524
Brand#52	STANDARD BRUSHED BRASS	19	4524
Brand#54	MEDIUM PLATED BRASS	3	4524
Brand#54	PROMO ANODIZED NICKEL	45	4524
Brand#21	MEDIUM PLATED COPPER	3	4523
Brand#23	MEDIUM PLATED STEEL	19	4523
Brand#25	LARGE ANODIZED COPPER	23	4523
Brand#32	PROMO PLATED BRASS	9	4523
Brand#33	PROMO ANODIZED COPPER	19	4523
Brand#34	LARGE POLISHED BRASS	9	4523
Brand#35	PROMO PLATED TIN	19	4523
Brand#42	LARGE BURNISHED COPPER	14	4523
Brand#52	ECONOMY POLISHED NICKEL	9	4523
Brand#52	MEDIUM BRUSHED NICKEL	45	4523
Brand#12	ECONOMY ANODIZED TIN	14	4522
Brand#12	PROMO BURNISHED BRASS	45	4522
Brand#12	PROMO POLISHED STEEL	19	4522
Brand#13	STANDARD POLISHED NICKEL	23	4522
Brand#14	LARGE PLATED NICKEL	19	4522
Brand#22	ECONOMY BURNISHED COPPER	14	4522
Brand#23	MEDIUM BRUSHED TIN	9	4522
Brand#24	ECONOMY PLATED STEEL	23	4522
Brand#32	ECONOMY ANODIZED STEEL	45	4522
Brand#32	PROMO BURNISHED STEEL	45	4522
Brand#34	ECONOMY PLATED STEEL	19	4522
Brand#44	LARGE BURNISHED STEEL	19	4522
Brand#13	LARGE BRUSHED BRASS	9	4521
Brand#13	STANDARD BRUSHED NICKEL	49	4521
Brand#14	PROMO BRUSHED NICKEL	19	4521
Brand#23	STANDARD BRUSHED TIN	9	4521
Brand#31	PROMO BRUSHED TIN	19	4521
Brand#32	MEDIUM BURNISHED BRASS	3	4521
Brand#33	LARGE PLATED TIN	49	4521
Brand#34	ECONOMY BRUSHED STEEL	19	4521
Brand#35	ECONOMY BURNISHED NICKEL	45	4521
