nation	o_year	sum_profit
INDONESIA	1998	13669582526.4691
INDONESIA	1997	23347161782.2863
INDONESIA	1996	23391296455.3484
INDONESIA	1995	23308708191.7952
INDONESIA	1994	23272183267.289
INDONESIA	1993	23325511037.9772
INDONESIA	1992	23402151885.5788
IRAN	1998	13659274333.5926
IRAN	1997	23318291706.53
IRAN	1996	23342882509.5101
IRAN	1995	23266740204.4723
IRAN	1994	23321401850.3574
IRAN	1993	23303682262.1591
IRAN	1992	23332315854.4829
IRAQ	1998	13678138383.1823
IRAQ	1997	23403210720.208
IRAQ	1996	23424928682.8118
IRAQ	1995	23432064943.8052
IRAQ	1994	23386853801.8695
IRAQ	1993	23355616028.5015
IRAQ	1992	23430472950.8228
JAPAN	1998	13607709410.8831
JAPAN	1997	23276792753.5454
JAPAN	1996	23333178727.3081
JAPAN	1995	23273546938.0038
JAPAN	1994	23233298373.3884
JAPAN	1993	23253878214.8464
JAPAN	1992	23319750983.7009
JORDAN	1998	13614052195.2703
JORDAN	1997	23238717393.1176
JORDAN	1996	23270043702.3636
JORDAN	1995	23224114492.0462
JORDAN	1994	23244590420.4941
JORDAN	1993	23214731018.7953
JORDAN	1992	23284395886.0334
KENYA	1998	13639110295.6795
KENYA	1997	23250930725.8144
KENYA	1996	23304562526.136
KENYA	1995	23255463298.5288
KENYA	1994	23291143230.2596
KENYA	1993	23280103559.4414
KENYA	1992	23300614486.1498
MOROCCO	1998	13670014907.914
MOROCCO	1997	23344995833.4072
MOROCCO	1996	23419491544.4137
MOROCCO	1995	23311537455.3813
MOROCCO	1994	23348842766.3094
MOROCCO	1993	23340967882.6958
MOROCCO	1992	23435058372.7959
MOZAMBIQUE	1998	13721138772.3665
MOZAMBIQUE	1997	23342584458.745
MOZAMBIQUE	1996	23430983749.6216
MOZAMBIQUE	1995	23347887646.5255
MOZAMBIQUE	1994	23334958992.0565
MOZAMBIQUE	1993	23364510433.4564
MOZAMBIQUE	1992	23381011612.2335
PERU	1998	13718072716.7703
PERU	1997	23384606438.5658
PERU	1996	23428031330.8998
PERU	1995	23400663277.1715
PERU	1994	23412257466.3285
PERU	1993	23372769938.5442
PERU	1992	23406827722.8248
ROMANIA	1998	13696040986.4336
ROMANIA	1997	23336924658.7445
ROMANIA	1996	23446409684.0677
ROMANIA	1995	23371937026.7533
ROMANIA	1994	23330389865.1933
ROMANIA	1993	23385924325.0309
ROMANIA	1992	23426841050.8383
RUSSIA	1998	13634047185.3844
RUSSIA	1997	23315777480.2969
RUSSIA	1996	23409078800.817
RUSSIA	1995	23301262773.082
RUSSIA	1994	23342289717.5259
RUSSIA	1993	23307808255.9195
RUSSIA	1992	23409750194.3448
SAUDI ARABIA	1998	13692810962.1837
SAUDI ARABIA	1997	23333531438.1569
SAUDI ARABIA	1996	23401524391.3939
SAUDI ARABIA	1995	23345679234.3179
SAUDI ARABIA	1994	23315255106.2749
SAUDI ARABIA	1993	23340774936.1756
SAUDI ARABIA	1992	23382492111.2972
UNITED KINGDOM	1998	13760202751.3708
UNITED KINGDOM	1997	23386656689.4202
UNITED KINGDOM	1996	23449376741.7423
UNITED KINGDOM	1995	23345922272.8257
UNITED KINGDOM	1994	23308715315.6802
UNITED KINGDOM	1993	23394157405.5736
UNITED KINGDOM	1992	23463453877.9896
UNITED STATES	1998	13612816913.7022
UNITED STATES	1997	23182507014.257
UNITED STATES	1996	23271636355.755
UNITED STATES	1995	23176742752.2605
UNITED STATES	1994	23189874733.2304
UNITED STATES	1993	23193006768.9493
UNITED STATES	1992	23274171377.9829
VIETNAM	1998	13608196524.1778
VIETNAM	1997	23270829127.9039
VIETNAM	1996	23290451874.8585
VIETNAM	1995	23271162704.791
VIETNAM	1994	23200415534.1249
VIETNAM	1993	23273018491.4757
VIETNAM	1992	23360317245.0556
