ps_partkey	value
33494361	18959749.19
29366778	18951135.24
48901641	18950784.06
14417139	18948176.01
96057488	18940793.58
64185949	18928894.76
11073423	18923843.17
50490371	18919154.84
6674344	18902160.92
61305408	18893346.66
26222900	18881044.56
63347287	18869880.14
43424315	18867561.32
50060146	18867171.68
96787681	18866390.52
90266507	18851166.52
86638643	18850229.68
60344748	18826545.38
4342379	18820253.34
94267217	18809743.71
99673227	18806554.03
94359801	18794610.55
29440196	18785049.14
3370395	18764483.95
96009583	18751247.73
92368666	18748339.71
13641142	18743148
84827831	18731207.24
23346393	18730519.17
22574953	18728123.02
92534683	18718243.22
59292968	18714614.05
36455027	18711553.11
66669904	18710148.51
33251169	18698680.26
26041984	18682513.02
74423004	18680430.8
86281391	18671799.91
60593050	18655359.1
69101649	18641795.88
59952207	18622826.91
83147501	18621675.97
13485175	18617798.62
96552582	18616777.3
57582095	18615421.62
16322720	18614586.69
97275860	18608568.44
15482530	18584069.75
20790719	18581725.53
22668578	18555942.76
21491997	18548349.11
80809030	18547251.2
10274608	18542747.39
96186301	18531009.5
3378004	18529568.36
83480916	18527405.46
43270620	18519837.24
20706210	18503089.5
92866685	18497652
3609894	18488377.81
31684706	18476173.61
69745346	18444473.51
12791863	18438699.56
20856402	18428550.48
25169565	18425328.77
94870940	18422764.95
62301082	18417192.18
54596145	18405615.96
53232339	18401204.82
50390762	18366066.73
59678036	18330795.47
49540679	18320147.97
77276082	18316913.89
49552319	18313514.29
72727189	18309091.94
88321429	18303175.48
29455737	18300669.94
51817518	18297140.51
90647290	18280898.36
21597414	18278820.5
98912835	18278380.88
14986413	18273438.09
11518377	18271460.28
545382	18268408.32
51030225	18268207.07
73395673	18254356.93
88248700	18244467.81
37867971	18243710.1
36838869	18242769.12
7526457	18241519.17
78577467	18240626.58
91975418	18225685.85
61695288	18225651.9
73631798	18219819
30975015	18208040.06
75684384	18206476.6
65359981	18203024.07
46339600	18174444.15
35057679	18174334.28
85773794	18160392.96
95217853	18156531.21
35813262	18155965.53
43921550	18147418.56
85486548	18144459.22
82028562	18136158.88
19588024	18135507.46
64354166	18133773.7
28551642	18121407.75
26095839	18118323.23
24630277	18114449.04
7081945	18111287.89
11246089	18110710.08
85356770	18106701.15
76501631	18105113.54
91418388	18104673.75
46865043	18104017.56
39364107	18103636.03
34457434	18086388.62
25180669	18084700.2
51952908	18083426.33
60637005	18072561.7
62836634	18068932.87
69648304	18057456.54
8709900	18057447.25
93526997	18052259.42
98838522	18033851.79
33564737	18025476.92
10182448	18022910.48
18399252	18019029.1
3059181	18018541.85
69172597	18016455.9
23132310	18011441.47
65785103	18007756.46
49080315	18003341.92
57204366	18000788.53
93764256	17997340.03
13766656	17994551.34
71166119	17982094.59
90906516	17979351.78
34085939	17977693.68
57754284	17966138.75
84205396	17965369.06
15183742	17961912.4
49709630	17953326.47
19482915	17952612.44
19043308	17951099.97
90898267	17951052.09
64328989	17948010.5
97551739	17947937.06
34139385	17943347.43
54888430	17937759.35
17615862	17935979.87
25654512	17933413.58
2989302	17920550.8
36167315	17919234.31
71627194	17916737.39
83247650	17916305.55
56617645	17911693.94
17751337	17911059.64
6662808	17901083.76
764181	17898036.24
14238002	17897529.6
39040478	17897197.8
77088869	17895766.16
18194550	17891021.42
99713854	17888477.46
91083581	17886796.99
94632175	17886511.98
72905840	17876275.65
24664330	17867691.42
12767413	17859779.26
6192146	17858834.91
37905379	17850240.6
12939415	17848473.67
47177644	17847273.07
59151876	17840425.6
83571630	17839021.36
16348571	17830388.94
59584533	17825794.68
25928053	17821446.78
69972268	17819932.11
24991463	17817762.32
51638643	17814824.61
89297666	17810780.93
65394744	17807734.76
52887797	17802288.35
42722506	17801079.95
41062164	17798872.96
18910037	17798500.28
55229178	17796735.12
90507087	17790051.05
41210731	17788555.54
26940186	17787610.13
93277853	17786441.81
47704307	17785591.53
37604839	17782268.66
46979981	17781299.19
73718741	17779283.4
59992949	17777497.43
10398774	17774428.82
10937150	17767546.44
50525934	17765587.92
53767334	17763009.55
31723370	17760617.94
79852836	17757681.47
7079983	17757355.64
7299216	17748868.17
77837215	17739949.88
48749822	17737184.96
93236292	17733883.8
96223021	17733115.21
20929876	17730909.89
30438155	17729987.33
24485436	17727792.22
27331784	17726854.29
47487996	17716965.39
983039	17716751.95
4743890	17713465.65
8120229	17711349.44
74638493	17708835.02
20255476	17706832.88
7797540	17703577.7
78769302	17701545.38
75479443	17701256.96
17371631	17698721.5
49363611	17697346.13
83635364	17694429.56
44870234	17694408.06
17587979	17691238.77
87593097	17689427.94
6952451	17689219.38
78305251	17685560.47
96673980	17685548.04
38334526	17683211.18
76521036	17681463.21
95028146	17679241.93
30542685	17675706
44469378	17675574.89
31759573	17675073.16
23683007	17666985.06
90858626	17666763.06
10215024	17666685.25
31884088	17663279.8
36003072	17662867.41
99648457	17661977.76
60034744	17660598.98
9364063	17659922.28
43747107	17657524.16
10873494	17656367.79
6406680	17656134.75
23894530	17652610.68
74816761	17652598.02
63458089	17651657.1
76779889	17650014.12
82715728	17649289.39
80974800	17648689.25
74279233	17646443.18
52356534	17645228.22
55411839	17644436.25
25068444	17643089.52
61646094	17633047.23
72620787	17632223.77
47314723	17630820.63
61377572	17626113.89
10207175	17616523.22
37165718	17615145.15
18189417	17610303.62
90212803	17602623.69
42847523	17600765.8
61591694	17599708.05
60401995	17596159.23
19735189	17592544.92
46888575	17587992.85
24936793	17586742.75
89568454	17582816.48
96308324	17582102.28
84184903	17573325.85
42424399	17570903.16
64413133	17564032.06
68953892	17552792.74
41340880	17552487.94
68565435	17551987.47
94077287	17551174.56
9628441	17548642.56
34781830	17543427.19
60413372	17539963.57
89154017	17539177.85
12972341	17537519.4
80446273	17534715.79
40229622	17528879.33
80415767	17519767.29
78714690	17518175.16
52489789	17518101.59
48781257	17515631.7
27403437	17507001.09
2234951	17506298.38
31691862	17504561.74
24706421	17502406.15
26261809	17500994.08
3737709	17500703.03
58413114	17499703.6
68825926	17498131.2
35209780	17497279.47
89418502	17494922.32
61681038	17493476.43
6174008	17492604.15
39656276	17492305.46
40699317	17489992.1
13032664	17480972.21
42821561	17480429.08
40012946	17476401.76
20934226	17475903.45
46851206	17475093.57
17037583	17473559.67
35511728	17465592.87
72477619	17464656.11
29017992	17462977.24
99724904	17459806.79
25941426	17459197.68
96072620	17455608.32
16080652	17454634.07
72398718	17454603.16
17352552	17451803.21
55033064	17441055.06
62245928	17436484.79
36148022	17435413.22
85494913	17434336.29
44413278	17433476.87
45746253	17431454.34
36793748	17431325.15
91952298	17429541.64
11502252	17428907.92
30915949	17427710.96
9742671	17427477.75
81353147	17426040.51
80264863	17425434.95
39237732	17423495.68
61734387	17422877.8
68897937	17416569.45
87058674	17414550.58
10956544	17409799.36
636864	17407345.96
99342707	17406850.53
91045127	17404581.33
57835845	17401673.07
44562545	17399378.38
7822665	17396183.7
54888490	17394799.36
19468407	17393827.49
2060789	17393239.6
43453181	17392833.87
4940155	17391560.93
88500980	17391387.84
66307155	17382476.12
14703473	17381770.44
5166153	17381123.02
47236440	17381062.7
58446294	17374809.73
32172647	17373848.25
99808258	17368008.53
79096280	17367452.06
87874165	17364757.8
5932834	17361326.36
41843154	17360076.21
63652333	17360022.96
81026164	17359658.94
5410500	17355197.25
33725299	17353202.54
85912153	17352164.44
48944473	17352052.8
53702905	17350993.8
20545683	17348931.08
62108448	17346152.84
82185154	17343164.04
13203378	17338102.44
20522149	17335909.35
51467793	17335169.68
14549536	17334977.64
44172515	17329302.11
82157981	17328928.05
2187262	17327388.7
74018733	17327013.51
81174778	17325972.44
37507743	17325348.12
82301759	17323364.46
89700438	17316700.5
9966138	17314481.63
41586224	17312451.82
5029155	17311420.7
32652925	17309787.25
11097887	17309685.82
20453185	17309454.05
22167067	17304887.05
6032944	17302598.6
59026369	17300447.49
70377497	17300209.86
17873565	17297321.42
29051591	17296935.77
60789388	17295168.77
99742192	17294312.68
28215545	17294306.1
73839212	17292089.23
52145548	17288272.77
1303775	17286187.9
86268334	17284462.89
94319246	17282779.44
29720268	17279419.79
39239292	17277075.7
19384779	17273520.36
60616591	17273402.65
51129800	17271537.94
79697557	17270420.44
6212921	17270102.41
24462039	17267111.53
87394990	17263707.56
59371158	17261636.15
2472027	17258040.26
52719349	17257086.4
81776849	17254092.59
90109588	17254028.79
65124968	17252902.76
94346022	17247397.76
30886280	17246927.6
23583753	17245903.9
54125995	17245675.39
66989744	17244434.47
52171905	17239842.6
93473083	17235313.2
16627216	17229382.6
38712088	17226881.78
93628770	17226773.94
51582871	17222338.36
73976525	17221500.15
65524873	17220583.94
17030093	17218978.56
98031680	17217106.86
90030858	17215723.28
26735437	17213449.66
99020357	17212125.5
69059248	17210386.23
69161555	17209277.9
66583184	17209169.92
90438262	17207437.32
84751167	17207041.7
42957263	17203887.64
85010397	17194085.82
66270819	17192696.35
28855014	17191367.44
76379467	17189482
43064942	17188166.92
32449988	17186437.45
43191464	17185899.63
99610627	17184724.61
98553356	17181637.06
87468624	17179101.36
82437391	17173049.36
63995005	17172468.61
18029213	17172102.19
63551779	17171859.77
47380236	17171854.97
32992074	17171391.7
31557708	17169351.66
17754233	17167334.73
18243939	17167107.53
67529885	17164977.62
99049750	17163894.54
76458202	17159888.23
11169026	17156916.63
41761403	17151577.38
79646487	17151128.63
63047618	17150251.69
37067567	17149229.82
38667492	17148086.54
13865256	17146456.85
26171230	17144733.35
94870049	17143679.32
33554733	17143525.67
42567977	17141450.79
9567725	17131867.7
1765969	17129203.38
74102517	17128387.73
705022	17126785.73
45974211	17123467.82
46269610	17122709.86
53975050	17119972.14
85982514	17116991.04
12211957	17116316.33
53199	17116263.26
13763288	17116203.51
44189442	17114701.53
68030707	17113798.58
98507541	17112939.98
81534684	17112123.9
72206996	17110695.21
79051234	17110490.38
63344983	17108895
22029888	17107142.2
35993189	17106748.31
40497579	17106108.9
72320533	17102929.99
47218278	17100019.71
88936803	17095775.32
15612690	17092053.48
7325328	17090127.39
33030383	17089777.51
11181350	17086144.55
93605823	17082863.86
11918599	17082661.07
35523893	17082232.1
29229947	17077757.07
59220005	17075486.46
29244974	17074704.01
1924211	17072491.12
5111428	17071811.84
58025044	17071022.17
27228849	17069355.98
66615753	17065841.58
67275027	17065363.26
96799419	17063975.8
92434007	17063938.95
84745346	17063191.26
40149582	17061694.4
55794982	17060707
84057586	17054649.04
64784313	17052289.8
90720755	17051275.82
26959477	17050854.88
8138661	17047567.83
59316778	17044297.69
94796742	17041293.84
39120499	17040453.41
39457197	17039891.51
95252214	17037089.41
13127688	17035977.81
33148909	17035209.61
36094702	17034880.29
23539694	17034706.24
35045081	17031704.38
58798071	17030485.88
361970	17030403.64
38856984	17030192.56
70910185	17026552.38
95207462	17026161.56
2223980	17025917.33
14667277	17025316.05
22681578	17025297.33
61881417	17024600.3
42275528	17024414.96
91774902	17024246.62
410552	17021603.79
40148800	17020008.05
18872429	17019004.73
17878549	17018604.87
71817809	17016696.37
38843897	17014592.7
63289132	17012126.1
4398724	17012058.04
59444665	17011113.16
48001555	17010234.51
75350915	17010046.62
85617457	17009187.94
37603793	17008880.28
15469828	17003646.32
16464176	17001705.36
11932902	17001529.74
52668560	16999266.35
61607177	16996172.86
54856952	16993568.28
2888	16991218.03
50407062	16989616.71
56412217	16988878.71
57396691	16985609.35
7325551	16985281.36
56970817	16984459.94
10786446	16980951.85
16606850	16980244.7
54517522	16979973.94
91162189	16979698.85
78242441	16976256.3
38273294	16974703.05
71381765	16971737.53
67473553	16971433.02
746581	16968407.44
8296267	16966644.5
90365778	16963003.46
73055123	16962721.6
52167246	16959502.68
8538337	16959271.64
36877322	16959035
14242582	16958751.2
38488188	16958304.38
28084145	16956267.68
11418529	16953995.14
22049279	16952359.04
25830910	16951602.03
56731166	16951442.85
77796490	16950758.13
61431538	16949943.9
93466971	16946188.95
33385118	16945440.51
9952324	16944453.58
85358531	16942906.22
68005312	16941575.88
32018864	16940979.97
79990091	16940828.38
78664244	16939966.18
64807378	16939438.73
11410657	16938315.17
28899554	16936803.94
8237495	16936733.67
28962460	16936299.68
82647268	16936102.9
87529994	16934763.3
57022776	16934384.14
9415215	16932999.43
7334261	16932928.41
11905886	16932208.4
18466773	16927613.53
73961902	16927166.95
56468737	16926525.38
50967558	16925698.24
1699089	16923875.83
55185628	16922964.34
17347003	16919621.86
40973951	16916234.56
96858366	16916002.54
54541748	16914550.5
86948363	16913647.86
51899238	16911183.69
56461695	16910916.34
9482972	16910130.76
44862752	16907330.01
82627906	16907011.59
10394862	16905600.39
85334088	16905362.9
25201328	16904535.08
56415779	16904471.22
9116833	16903641.81
38185142	16903597.15
51833517	16902550.82
85443069	16902431.12
56856672	16901317.31
13771926	16900778.51
94887721	16899585.73
43385589	16899458.37
88483997	16898765.16
12266780	16898286.49
95301712	16898080.92
43126786	16897838.03
45528195	16897762.4
77447730	16897676.46
58771061	16895157.12
88874988	16891578.8
18112684	16891325.26
52176401	16890471.28
61071107	16890027.65
46093735	16887990.76
24491973	16886949.5
58752597	16886932.5
61610456	16886032.02
99038948	16884495.22
54283491	16884096.61
54299811	16882057.56
8548852	16881423.32
25701140	16880738.06
65323815	16878296.64
70674951	16877476.2
85992620	16876867.88
72065131	16876622.56
5116755	16873676.56
33911765	16872686.19
62258344	16868743.74
24441601	16862778.38
84771815	16860870.19
746463	16860528.68
79999103	16860106.56
28515137	16858793.72
16273572	16857577.27
23007267	16857527
48030423	16855251.42
56100109	16855192.16
44780487	16853388.2
1008130	16851477.48
52659803	16850993.49
42122818	16849524.98
25652208	16849127.38
35265100	16848971.64
32676524	16848790.38
61153857	16848787.38
67672818	16848208.63
16774418	16847664.27
80127874	16847009.85
36215982	16846862.92
83711777	16845358.76
52807662	16843877.6
66861792	16843292.35
84590235	16841241.18
16418516	16836651.48
95508547	16836068.06
25388727	16835564.04
41486187	16834310.3
37405364	16833700
26086295	16832617.68
1895150	16831251.12
1862097	16828479.74
35796915	16828019.81
57487647	16826951.05
6664268	16826279.41
21347536	16825707.69
72854500	16825217.04
28014212	16823554.86
3322771	16819849.59
14060421	16819712.01
98994998	16817365.94
5224409	16817287.79
46012069	16817188.56
67737235	16817178.26
51535683	16815676.34
86653550	16811042.08
16734764	16810763.38
2261108	16808123.4
75293263	16807747.26
89817798	16806175.74
41785635	16805253.2
33554053	16804989.57
22637802	16803970.68
76661846	16803592.04
6452398	16803193.92
11427422	16802263
35484032	16801811.74
67077279	16801785.28
83833776	16801116.6
38024655	16800863.32
68277518	16799688.33
35934883	16799083.28
592379	16798987.47
88498294	16796580.1
6112429	16796570.47
24259091	16795413.9
22185458	16795078.54
94269832	16794544.41
75864251	16793464.27
68977047	16792043.54
41631206	16790545.9
63915420	16786995.4
60990185	16786982.38
93076825	16786240.82
60317179	16785673.2
72849417	16784603.56
61070716	16783429.26
38005498	16783097.5
30812111	16782419.64
20979953	16778429.7
26222883	16774258.11
6103394	16773358.34
90482850	16772700.68
58170742	16772414.62
92986643	16771940.15
47394034	16771420.86
80717878	16771390.4
47966645	16770905.99
96640652	16768590.87
91887261	16767628.71
11313206	16767535.23
9384260	16767040.76
66007377	16766792.46
32283107	16766387.32
18595713	16765349.57
73481073	16764861.32
15933399	16764704.08
30851124	16760038.26
44927944	16759101.72
95654949	16758436.5
75778299	16758277.84
58152300	16757519.9
92507377	16756218.55
36545901	16755491.81
5975086	16755434.96
56438996	16753047.86
27689538	16752920.59
82768239	16752520.61
20972946	16751412.16
25525636	16748195.13
75104204	16747878.36
88991883	16744437.39
83958704	16744158.86
46536427	16742614.06
41385231	16738006.84
4105530	16736718.2
87164222	16736530.2
88885182	16736438.86
4874532	16736147.87
96590929	16735025.8
87142240	16732696.33
96820502	16732288.38
48290250	16731974.93
94970451	16726909.3
27591586	16723244.3
82750357	16722740.88
75525624	16722515.06
59056769	16721947.42
22931938	16720123.9
55739278	16719589.43
65463482	16718726.91
4750256	16718709.95
2627368	16718069.28
65376220	16715144.51
74116643	16714555.47
54289248	16712999.4
3724577	16712847.79
9291414	16709224.26
71166756	16704712.83
79648093	16703102.99
97486320	16702893.84
14621256	16702749.21
87084667	16702046.5
5856640	16701557.59
21513280	16699415.39
38877010	16697729.36
46768905	16697229.38
60801833	16696877.94
28668354	16694496.9
30528368	16693073.9
2065090	16689808.3
88998772	16685587.18
57237948	16685483.24
24143541	16683011.19
54702978	16682115.97
66971938	16679852.94
43433196	16677991.84
45972706	16677741.26
66720955	16677103.38
49810082	16676469.88
54323030	16673626.9
3099360	16672879.75
48175925	16671134.74
44281721	16670726.43
3937968	16670135.79
70715995	16669436.48
12053431	16668895.35
28051603	16664953.28
9108977	16664564.86
58984541	16663108.21
23584483	16662100.73
59135033	16661994.97
85442329	16661893.09
71832322	16661860.37
45653532	16661353.67
35511224	16660201.71
33989359	16659410.54
7375153	16657713.6
80306193	16657448.06
77689916	16656167.92
29192973	16655292.05
45844241	16655241.83
44202057	16655203.28
10866531	16654508.48
50260705	16652235.87
60645380	16651960.8
75127471	16651859.48
33352026	16650734.66
40144669	16650667.44
58465108	16650205.96
83846526	16648630.74
24201810	16648497.93
13976857	16648242.31
47316086	16646859.77
5773965	16646637.62
11588310	16645412.13
11933913	16644702.89
87592546	16644578.05
80113260	16644508.51
74669774	16644128.04
20564318	16643005.28
38391746	16640748.97
65704466	16638033.02
70142721	16637351.72
27975837	16636730.94
44849714	16636683.16
6870648	16635844.1
25432896	16633651.44
90711561	16633568.48
93781302	16631836.63
37617781	16631445.93
95442382	16630928.11
21772419	16630270.82
10625750	16630107.15
94128148	16629416.65
16841794	16627197.28
10968901	16626121.05
82452161	16625642.23
58125745	16625308.3
41891046	16622007.9
7279164	16621480.28
69401751	16621359.98
68011906	16620014.43
58024859	16618777.25
46645759	16617565.51
91694438	16616875.03
91113513	16616469.54
13371915	16615709.9
49954822	16615361.5
49048655	16613949.43
22965287	16613634.65
13866907	16613391.68
44235452	16612922.42
47433415	16612616.3
19992164	16610417.46
69865651	16609771.2
66297290	16609217.71
71225258	16609103.68
90011155	16608681.5
656983	16607295.45
87299892	16604863.9
24760277	16603999.07
25963477	16602999.23
22245949	16602870.3
57711756	16600162.09
93769465	16599865.2
99904298	16597820.4
45473377	16597757.19
49247100	16597159.82
36182029	16594958.25
78388676	16594305.13
23823668	16593602.61
57185949	16590769.96
45470041	16590409.64
52843870	16589219.01
64068300	16588493.67
85486095	16588120.48
89979241	16587691.2
46761353	16585463.23
42459892	16581304.24
11090260	16581114.43
58153328	16581091.02
1365494	16581074.54
25948176	16580415.15
33622925	16579284.28
11120764	16578949.31
85404893	16577280.93
79571473	16577159.2
48974329	16576603.24
40580991	16576103.4
66637958	16575165.03
65555990	16572058.3
85519337	16572053.29
67196082	16571720.61
70089809	16569482.86
64181748	16567913.67
34966850	16566041.85
23457304	16565893.71
27857549	16565024.55
94461202	16563922.03
57197075	16563025.76
58859503	16560381.52
23966121	16560147.81
60979268	16559754.1
47501312	16559035.33
69207002	16558576.78
25313838	16558038.16
51037193	16557919.58
24098909	16555142.27
20833587	16554878.66
7545148	16552202.85
15777957	16552184.21
72127196	16551700.14
22218779	16551071.74
67597402	16549744.15
29110967	16549220.58
42875424	16547517.45
62764179	16546640.72
86077335	16544720.9
44518708	16544324.52
91065193	16543658.14
23732410	16541608.78
4544239	16540855.56
94139314	16540684.86
42575872	16538148.95
69431282	16535191.55
73129313	16534897.09
59008898	16532552.7
93809319	16531861.14
96607217	16531827.32
57032634	16529848.85
80563868	16529492.64
95608181	16529412.81
74074519	16526377.44
28714925	16526331.98
97631683	16525570.88
46801976	16525080.15
6880414	16524371.73
42560685	16524082.61
88972565	16520787
58880290	16519339.62
13252022	16519118.88
88187328	16518382.72
56740446	16518232.54
10026024	16517956.7
8429867	16517681.72
84211376	16517387.72
77779694	16516822.01
267901	16516795.51
98345911	16516695.42
5779723	16516692.4
72815054	16516686.26
89053072	16514836.31
26981812	16514511.54
31102716	16514460.6
44128191	16512773.21
55366635	16512438.66
46977261	16511990.16
30825542	16506825.29
57299187	16506508.7
826320	16506169.52
61676154	16504815.78
84237692	16504790.46
33897828	16504048.12
85959048	16503456.24
60005136	16503409.64
18515680	16503034.79
77122154	16502243.75
97082316	16500507.22
5524182	16497586.08
37887781	16497212.45
21059956	16496668.93
27580658	16494141.64
71882819	16494120.04
26378456	16493530.39
98517699	16491920
9794992	16491550.1
29605704	16489985.2
28265009	16488515.68
90986781	16488448.88
24235210	16486682.5
52318783	16483441.93
75140818	16482526.04
91297758	16482194.17
95882997	16482021.46
54907086	16481702.15
94061738	16478478.79
8141891	16477295.25
10727004	16477082.77
63064965	16476999.57
92658757	16476684
62047947	16474242.5
84042770	16473973.06
67699277	16472691.34
68280815	16471730.95
85136129	16467922.62
80825370	16467328.94
45987648	16466866.47
5842416	16463689.13
69507165	16463094.66
70517220	16463035.56
20576497	16462466.26
28931309	16460423.2
54116174	16460260.2
61376814	16459613.48
19612125	16459465.46
80963933	16457210.6
21171386	16457201.63
8096274	16456408.14
27105418	16456323.24
52660374	16455406.47
15350085	16454399.9
60706593	16453643.85
19347714	16452542.4
23455717	16452421.81
32006559	16450934.04
84857062	16448885.7
46316761	16447670.55
4594890	16447467.62
70239105	16447222.82
61267921	16446461.26
72394811	16446329.88
57819345	16445472.44
46829321	16444879.38
57093658	16444614.3
92427495	16444297.61
7984441	16441804.96
25509355	16440341.7
97498294	16440111.45
16273405	16438541.32
17169732	16437180.2
6175528	16436475.83
34705717	16436418.36
11406734	16435582.1
13430843	16435481.44
40780480	16435077.7
22531544	16434513.78
9817181	16433422.13
75597041	16432803.79
95791643	16430129.66
61511439	16428643.7
2821540	16425093.02
43916800	16425027.13
51977435	16423780.84
30265154	16422941.17
98221758	16420639.87
9439365	16420164.62
65178909	16419338.79
93770800	16418560.62
96923262	16416968.76
98540229	16415161.32
79544512	16415120.65
74928168	16415027.16
46411133	16414412.47
75336628	16413468.38
71813361	16413434.09
44164608	16412485.06
91106456	16412273.14
31313768	16410839.9
35386357	16410592.33
33009103	16410589.4
41421464	16408621.68
67919845	16407454.81
27872768	16407285.58
11781500	16407186.4
69690775	16406608.49
3507761	16406551.27
92152286	16405544.07
99890612	16405395.38
13581620	16405329.51
79488634	16405159.43
91330941	16404582.72
47734856	16403430.78
78636580	16402934.38
29833496	16402216.52
22112364	16401510.08
82574133	16401472.47
33317714	16400537.63
64392963	16400003.35
87004718	16399188.99
93646688	16396666.9
95024770	16396446.05
85496979	16396248.99
72913492	16395767.25
96971002	16394491.52
87454170	16394364.27
69048884	16393712.92
23499257	16391665.42
51714668	16390941.9
53034741	16390656.69
2225402	16389532.24
4971558	16388902.97
47830113	16388854.46
60828908	16388081.21
79866500	16386535.64
56347536	16385924.44
69696317	16385465.58
18420429	16385349.47
48060148	16384892.49
73495848	16382081.35
78287805	16380769.03
22954900	16379181.32
40816412	16378642.28
82862631	16378331.83
83974458	16376861.82
23667760	16376049.77
2836208	16375669.52
14441480	16372692.85
62965003	16372428.73
1156257	16370882.73
8720327	16370613.28
11675903	16370097.74
38269882	16365550.49
29757735	16363891.85
14310881	16360209.03
9702253	16359715.14
79469411	16359346.54
70820698	16358330.13
76066811	16357032.04
42533172	16355656.31
46067378	16355548.14
78298010	16354840.12
1831433	16353119.81
35372058	16352660.34
7912278	16351397.64
75978626	16351305.63
66620178	16350342.84
92503650	16350168.08
12727836	16349378.08
99210216	16348998.56
25474256	16348869.96
65885256	16348608.56
66305876	16345730.35
44671991	16345487.12
62463645	16345024.89
29019455	16343487.65
21454070	16342460.58
33755832	16341725.97
99459961	16339911.04
67382029	16339538.14
91565516	16339330.8
31606197	16339041.08
77196695	16337619.13
62953275	16337338.64
38752186	16336337.05
64964569	16335591.48
44611511	16334609.24
43921557	16333863.54
33466632	16331987.61
39405750	16331844.03
22911503	16330962.39
44988929	16330588.46
54402312	16329647.74
99007218	16325991.05
37694624	16325954.64
42677406	16325294.99
16323706	16324882.44
85046464	16322467.76
46335724	16321159.39
85902940	16320846.7
36392094	16320193.44
33810577	16319721.32
47564610	16319234.24
49294730	16319112.76
67513785	16319029.69
56189896	16318872.51
55781533	16317717.64
31779922	16316211.06
26320721	16314791.06
63435694	16314202.6
99520649	16313045.45
3786994	16311823.2
91630990	16311103.08
86692549	16310728.98
53827678	16309275.04
77461200	16308139.71
9847003	16306898.04
14551322	16306228.27
37162184	16306126.22
36126723	16305890.66
53129327	16305494.31
97814195	16305411.97
44156350	16302204.94
32429104	16301497.36
85452555	16300307.22
49056393	16300042.12
7098004	16299657.09
72806453	16299638.62
95217283	16298467.46
46708185	16297961.09
89130864	16296560.98
38171406	16295140.38
84179059	16294184.16
69609259	16293176.06
98682725	16293028.22
30805147	16292600.78
97085663	16292468
33536110	16292009.15
67726466	16291419.05
99057605	16289542.77
4086208	16289415.63
72379788	16289179.88
50956100	16289143.08
30440387	16288636.77
53416725	16287516.62
3254149	16287487.06
30016727	16287472.78
25111180	16287252.72
16400386	16286921.06
30946638	16286666.38
71444340	16286633.68
60045889	16286060.28
93401816	16285670.1
42469710	16285627.84
22400037	16285067.63
33279752	16282205.08
9614962	16281256.08
28197412	16280970.94
87294485	16280417.8
42213538	16279779.81
31613656	16278930.83
98007310	16278244.73
48209426	16276213.12
27596148	16276205.09
35561972	16275925.62
56106149	16274809.1
86833517	16273286.75
14189489	16271730.04
50971784	16271606.98
76515261	16271459.61
32251720	16270923.07
27200409	16270482.33
35607515	16269986.3
90573081	16268443.89
56971237	16267920.13
18774205	16266875.1
89193769	16266838.64
33622203	16266680.22
