s_acctbal	s_name	n_name	p_partkey	p_mfgr	s_address	s_phone	s_comment
9996.67	Supplier#003835769	RUSSIA	76335738	Manufacturer#4	edP GlFT9hHgNZVx8X0Z3ewKDP26Ri39	32-627-551-5653	uriously final foxes detect blithely carefully regular pack
9996.6	Supplier#000964227	FRANCE	8464224	Manufacturer#4	R3gr3lqtmEmiH59tr1MQo	16-557-307-8991	ular asymptotes. Tiresias sleep quickly a
9996.57	Supplier#004194721	FRANCE	14194720	Manufacturer#4	BVCsxvibRzQdweD	16-279-134-4390	foxes. blithely ironic requests sleep furiously against the pending request
9996.55	Supplier#003534113	GERMANY	92284094	Manufacturer#3	qwJxJI YWq5mJBTUGCk1R	17-130-596-5453	nal excuses. carefully thin packages wake? slyly even pinto beans boost. carefully special pinto be
9996.48	Supplier#004084481	GERMANY	76584450	Manufacturer#2	zyxeTp5S9Jl0BwvR4tsDidwn8	17-901-987-3598	he packages maintain carefully around the carefully ironic platelets. even deposi
9996.45	Supplier#001658182	RUSSIA	62908145	Manufacturer#4	tT23fXvOEDGl7jVd0	32-876-550-7509	pecial instructions sleep across the ironic packages. bold, f
9996.26	Supplier#004364242	UNITED KINGDOM	50614211	Manufacturer#1	P9kRiLmpBQW1AcRzlpg	33-712-868-4641	ites sleep unusual, regular foxes. quickly even de
9996.12	Supplier#001234378	FRANCE	88734343	Manufacturer#5	IHDWgSXMXsC7 xt3c9kpalSTTxBkatmpbD19tD	16-630-801-7621	al excuses cajole alongside of
9996.01	Supplier#002742099	ROMANIA	33992080	Manufacturer#2	YhQHROjWrSex9P6VFJKDE	29-527-411-3474	ar ideas hinder fluffily furiously final requests. final ideas haggle 
9995.99	Supplier#001582111	UNITED KINGDOM	34082098	Manufacturer#3	zhx2Hpl6L9EAnfRFqrWYn	33-120-778-4325	y regular deposits. final deposits wake. fluffily silent 
9995.96	Supplier#000566208	FRANCE	43066191	Manufacturer#3	RMnISVay,G0prBUAZ,yqqm7ftyZbjH0CfJyXP95	16-665-147-8314	mong the ironic requests caj
9995.93	Supplier#000621875	ROMANIA	49371865	Manufacturer#2	9oDM1ywnyg3ss	29-380-685-3475	equests play-- unusual theodolites above the ironic packages are finally along the expre
9995.93	Supplier#000621875	ROMANIA	90621874	Manufacturer#1	9oDM1ywnyg3ss	29-380-685-3475	equests play-- unusual theodolites above the ironic packages are finally along the expre
9995.84	Supplier#002593074	UNITED KINGDOM	16343070	Manufacturer#2	D5V5ntSppg1,Kn,1rbVQWez	33-742-734-9511	among the unusual requests detect never blithely ironic requests. bold accoun
9995.79	Supplier#003257558	GERMANY	72007543	Manufacturer#3	hwUOv1b52RbvfsstQ	17-751-261-2080	s are carefully pending requests-- furiously unusual requests play
9995.75	Supplier#002033370	GERMANY	59533347	Manufacturer#4	RwuLBQd0t4QrGzsBNnztcf XOiXdgBaBgYHKx	17-329-772-3280	ously ironic asymptotes haggle after
9995.75	Supplier#002033370	GERMANY	95783350	Manufacturer#1	RwuLBQd0t4QrGzsBNnztcf XOiXdgBaBgYHKx	17-329-772-3280	ously ironic asymptotes haggle after
9995.71	Supplier#003699708	RUSSIA	39949686	Manufacturer#1	cYYpEFDcty,L7xxSMfZ0e	32-979-382-3009	ole quickly final accounts; fluffily pending attainments use. ideas are quickly abov
9995.71	Supplier#003699708	RUSSIA	69949668	Manufacturer#5	cYYpEFDcty,L7xxSMfZ0e	32-979-382-3009	ole quickly final accounts; fluffily pending attainments use. ideas are quickly abov
9995.68	Supplier#002251029	GERMANY	79750998	Manufacturer#5	LzPbrr3lnYLuOpUrZduCQJ0DLM09orrQ Bw3	17-803-165-7401	 express dependencies. carefully ironic requests nag around the foxes. special,
9995.54	Supplier#001117332	RUSSIA	61117331	Manufacturer#1	N6Gslbt0XsNGGriHRNHztvPu8N6JFllqOM536	32-389-745-8796	press requests. requests co
9995.48	Supplier#002316081	UNITED KINGDOM	28566065	Manufacturer#3	ZlPXP8RPlfL7JDHezNCUt Zb0	33-638-356-5659	ainst the carefully even deposits. n
9995.45	Supplier#003116386	RUSSIA	59366352	Manufacturer#3	ROCQ cNuEYcAbjoTwh6lP	32-226-277-9629	nal packages. requests wake carefully regular f
9995.45	Supplier#003116386	RUSSIA	64366349	Manufacturer#1	ROCQ cNuEYcAbjoTwh6lP	32-226-277-9629	nal packages. requests wake carefully regular f
9995.45	Supplier#004972461	UNITED KINGDOM	27472450	Manufacturer#3	A02 Bo0Ab0po	33-222-642-2986	o the blithely bold accounts are ac
9995.37	Supplier#004273967	ROMANIA	13023964	Manufacturer#4	TrLk 3jAW6L3G,8q1 49ayGfdZ7lMgU	29-373-684-3770	e stealthily final theodolites wake furiously alo
9995.35	Supplier#000660115	RUSSIA	56910081	Manufacturer#4	FeZEq,FUk4Zb5QcPt8A7Eb9iD28	32-485-807-8645	al, quick asymptotes atop the furiously bold pinto beans cajole among the even, final packages. ca
9995.34	Supplier#003112561	FRANCE	73112560	Manufacturer#4	dxCXKHTYInboLmDd0rVKDMf9	16-928-326-3884	ptotes. quickly bold pinto beans are. carefully even fox
9995.32	Supplier#002418682	FRANCE	36168674	Manufacturer#5	Um4gjDOjDw1dpEUAPDpA,E6KKJVTXVH	16-373-390-8485	 slyly silent deposits use blithely bold deposits. instructions ab
9995.25	Supplier#000974205	UNITED KINGDOM	30974204	Manufacturer#3	UFs,1xv12Y2dWluT,nJf	33-534-857-2947	sts; regular, final theodolites about the final, unusual frets 
