c_name	c_custkey	o_orderkey	o_orderdate	o_totalprice	sum(l_quantity)
Customer#046566512	46566512	4788383842	1996-04-06	566098.85	332
Customer#091040488	91040488	2110959363	1995-04-28	565887.09	317
Customer#049365091	49365091	4933264166	1996-12-02	565410.38	311
Customer#113136694	113136694	4405836001	1992-08-01	565358.98	306
Customer#049540060	49540060	2773108485	1992-10-08	565049.31	310
Customer#043289999	43289999	5549093153	1994-02-08	564554.56	306
Customer#098770411	98770411	1867692611	1996-06-10	564554.56	306
Customer#129943178	129943178	5303742087	1993-07-27	564095.96	312
Customer#028718959	28718959	2347467587	1995-05-16	564084.38	303
Customer#018373489	18373489	1483996513	1996-02-05	563944	302
Customer#145473655	145473655	5165397031	1997-11-20	563944	302
Customer#036562483	36562483	4438202050	1996-05-04	563803.91	307
Customer#096445474	96445474	3211068544	1997-09-05	563803.91	307
Customer#127471039	127471039	687992070	1995-07-09	563600	301
Customer#125816035	125816035	2659319175	1994-12-10	563561.26	303
Customer#115301575	115301575	5928465858	1997-02-04	563439.72	326
Customer#119408293	119408293	5619984103	1992-10-13	563357.7	319
Customer#001248484	1248484	3165717091	1995-04-30	563357.7	319
Customer#013429135	13429135	1872272804	1995-03-26	563243.57	319
Customer#097607102	97607102	4790242983	1997-03-10	563116.75	318
Customer#087278185	87278185	3051615111	1992-09-04	562948.61	312
Customer#090495487	90495487	323219458	1994-04-02	562799.45	315
Customer#036889892	36889892	1905938080	1993-02-27	562402.38	325
Customer#098308942	98308942	4360205092	1997-01-21	562402.38	325
Customer#090585199	90585199	2482928707	1996-03-24	562276.16	320
Customer#132930634	132930634	2136244069	1993-11-15	562203.23	305
Customer#028731811	28731811	5817644611	1996-09-16	562203.23	305
Customer#032640217	32640217	4547412257	1992-01-11	562120.22	317
Customer#080510425	80510425	2777712454	1993-04-16	562106.83	326
Customer#017403719	17403719	423230980	1992-09-15	562085.83	318
Customer#049659511	49659511	4119752935	1994-04-10	562045.58	318
Customer#036267238	36267238	2444565926	1993-12-22	561871.98	308
Customer#068876590	68876590	5046333223	1996-06-27	561727.52	312
Customer#071732339	71732339	3819199717	1998-01-21	561727.52	312
Customer#145957105	145957105	3513237605	1992-07-21	561561.86	305
Customer#023538938	23538938	5967504641	1992-08-06	561561.86	305
Customer#076828936	76828936	532736640	1993-07-22	561511.91	316
Customer#091717477	91717477	320200161	1996-09-01	561431.53	330
Customer#047220364	47220364	1982527973	1994-12-07	561204.52	315
Customer#096201739	96201739	3209661479	1996-09-24	561204.52	315
Customer#013054039	13054039	4975580870	1996-07-01	561173.5	329
Customer#007156082	7156082	563000294	1998-05-05	561114.32	303
Customer#104934928	104934928	729036576	1993-08-01	561067.11	304
