s_acctbal	s_name	n_name	p_partkey	p_mfgr	s_address	s_phone	s_comment
9999.76	Supplier#005234729	FRANCE	122734716	Manufacturer#3	GuRAxQKK5riTQY1qXagnYTU	16-104-906-7033	nic deposits shall have to cajole furiously furiously 
9999.57	Supplier#007745978	GERMANY	190245920	Manufacturer#1	fJM4gx,wtmU	17-403-578-8945	fully bold packages wake. sauternes after th
9999.57	Supplier#001558979	RUSSIA	74058957	Manufacturer#2	8wWw3NoKEXCGkrQNQ5kqScG9iauVKFdA	32-376-710-4582	t dependencies along the blithely even accounts haggle quickly final asymp
9999.55	Supplier#004095089	UNITED KINGDOM	146595046	Manufacturer#2	dH0pSZPl49Nh50ja5,EVQRwPCIBtwfEc	33-865-323-3102	express deposits. carefully ironic fo
9999.48	Supplier#009343438	GERMANY	44343429	Manufacturer#3	ZjUcvwWEuOxO	17-176-306-9550	arefully carefully ironic excuses. carefully 
9999.46	Supplier#003526109	FRANCE	141026094	Manufacturer#4	s1ZhUiiGRtWJcx1M7	16-335-180-5356	le carefully furiously final dolphins. furiously even accou
9999.43	Supplier#009414192	GERMANY	91914164	Manufacturer#4	kq9jg2lpck3zuf3cH3vlOD52	17-907-612-5568	e unusual asymptotes. quickly regular epitaph
9999.37	Supplier#008402688	FRANCE	53402677	Manufacturer#1	 PypffRn7YWjx7rjvQXjVoF2dOZL9RTJVt	16-827-614-1675	ages. deposits do nag blithely according to the special, unusual
9999.37	Supplier#009425873	ROMANIA	126925860	Manufacturer#5	dVz6,6F90k6L9DOZqNoQ1V7x0oqizVa6aT8	29-101-302-8012	eposits. final pinto beans serve. caref
9999.32	Supplier#008773741	ROMANIA	176273723	Manufacturer#4	1A5zyUETdHRbZoN,QnNWLFxjEIPwJ6DsHIw	29-889-468-2854	ions. final, final pinto beans boost
9999.32	Supplier#007812718	RUSSIA	2812717	Manufacturer#1	 PFwuflgdlnZRWbVrJxkS,uE 79hbazrG2l	32-745-529-6725	e silent, express foxes sublate furiously along the carefully final deposits.
9999.22	Supplier#004607212	GERMANY	9607211	Manufacturer#5	7HOXKm14F9W8W5575yImhp	17-347-880-8978	sits alongside of the blithely regular pinto beans
9999.22	Supplier#004607212	GERMANY	102107201	Manufacturer#5	7HOXKm14F9W8W5575yImhp	17-347-880-8978	sits alongside of the blithely regular pinto beans
9999.22	Supplier#009125588	RUSSIA	124125563	Manufacturer#3	EF0yPutYsfoa2gZ3xNC nv13dv	32-222-715-2994	y regular accounts impress foxes. slyly express requests sleep furiously according to t
9999.21	Supplier#009544965	RUSSIA	27044962	Manufacturer#4	 ,d0mNLIqj1,zCc	32-628-582-7672	ccounts wake carefully final accounts. blithely final dolphins over the quickl
9999.19	Supplier#000971576	ROMANIA	65971563	Manufacturer#3	xwqnHyeeNTDL7Rc8H	29-140-197-4818	ly pending foxes sleep carefull
9999.16	Supplier#005813631	FRANCE	3313630	Manufacturer#5	X33JTENZA4PKwcirvD	16-547-430-6482	inal, special asymptotes ar
9999.13	Supplier#005341600	ROMANIA	192841580	Manufacturer#4	32Lm37yAvbzLuUjSstXrgy2qyKnIf IZNjp	29-601-650-4676	ss foxes after the express, regular requests are carefully across the regular accounts. regular asy
9999.1	Supplier#004510376	UNITED KINGDOM	84510375	Manufacturer#2	5T,up2quor6T4pT4wBf1pRE7DXF7,MPls	33-661-303-4762	ts detect across the furiously special ideas.
9999.05	Supplier#007887895	UNITED KINGDOM	2887894	Manufacturer#3	Soclu9bhDfg53RnoqmzNKQAixEa	33-952-907-5439	sts. furiously ironic packages above the unusua
9999.05	Supplier#007887895	UNITED KINGDOM	167887894	Manufacturer#4	Soclu9bhDfg53RnoqmzNKQAixEa	33-952-907-5439	sts. furiously ironic packages above the unusua
9999.04	Supplier#003986476	ROMANIA	13986475	Manufacturer#5	z,kk1sXSk1cps	29-213-276-7036	ly quickly express packages. regular, ironic foxes alongside of the blithely special theodolites
9998.99	Supplier#002271246	UNITED KINGDOM	139771232	Manufacturer#1	sdaTAbWb1,p0uygT3SQbPTmeIbUws	33-997-841-8551	. furiously unusual deposits boost slyly. sometimes ironic requests boost blithely enticingly u
9998.98	Supplier#001266482	RUSSIA	51266481	Manufacturer#5	RTbK,oHXq0cgCT H7bcfHfeX5qMQ0aNLY	32-583-820-1183	final, bold ideas use. furiously expres
9998.96	Supplier#007527905	FRANCE	80027880	Manufacturer#2	5K7,o1Vq8DmDRhW	16-288-698-9634	ously final deposits cajole alongside of the fluffily express accounts. ideas integrate furious
9998.94	Supplier#001471417	ROMANIA	158971401	Manufacturer#5	gOJpGw4khN2gCIw2YxuF4HxBSeYUoBHKTr	29-213-426-8981	rges. slyly even pinto beans sleep furiously above the silent, final req
9998.88	Supplier#002811198	ROMANIA	12811197	Manufacturer#1	xUMU,W8SuuUQ4yVeYxAaYUhT5	29-914-317-8049	ounts integrate blithely. ideas haggle furiously. furiously final requests sleep blith
9998.88	Supplier#008435991	UNITED KINGDOM	190935933	Manufacturer#3	Rxb X xyf1cPpOnRDm0XJP,T0 qG0Tgga9VsaKzW	33-108-545-7574	posits hang carefully dogged theodolites. ironic, silent warhorses haggle quickly? r
9998.86	Supplier#009815151	RUSSIA	29815150	Manufacturer#3	3iWLvpcYvE5b0,65pr6by3l35vpe	32-609-804-2747	 the slyly express packages. platelets are blithely. even tithes nag. slyly silent foxes across the 
9998.86	Supplier#009815151	RUSSIA	112315117	Manufacturer#3	3iWLvpcYvE5b0,65pr6by3l35vpe	32-609-804-2747	 the slyly express packages. platelets are blithely. even tithes nag. slyly silent foxes across the 
9998.82	Supplier#009372733	GERMANY	26872730	Manufacturer#1	5Bax7bSjAmKkX2w61DK sjPQmD9rVeG2	17-586-329-8438	boost blithely pending deposits. furiously express excuses u
9998.82	Supplier#009372733	GERMANY	61872714	Manufacturer#3	5Bax7bSjAmKkX2w61DK sjPQmD9rVeG2	17-586-329-8438	boost blithely pending deposits. furiously express excuses u
9998.82	Supplier#000937794	ROMANIA	180937793	Manufacturer#1	4yGSjVIX83vtU	29-307-136-8331	bout the excuses. furiously final 
9998.82	Supplier#008430098	UNITED KINGDOM	58430097	Manufacturer#5	6Bo QhsWRArWTOWS	33-505-231-1824	into beans. carefully ironic requests haggle slyly alo
9998.77	Supplier#001095334	ROMANIA	16095331	Manufacturer#2	I dJel0wJ9trPmi2,	29-722-104-6804	e quickly. regular, express foxes sleep slyly:
9998.75	Supplier#001861869	ROMANIA	151861868	Manufacturer#5	utwZb 6pZbVE6NIGl M0wdQYo8WD	29-995-350-6059	egular pinto beans sublate carefully regular, even dependenc
9998.66	Supplier#008548224	FRANCE	183548187	Manufacturer#1	s9P0OrYpZqw	16-957-449-5283	e around the furiously silent instructions. furiously bold ideas cajole furiously. th
9998.65	Supplier#000974416	FRANCE	18474414	Manufacturer#3	HR7CTnaD,EAIQb4yhg61GRErhGRicQKXgGK	16-293-326-1408	ular pinto beans. finally special pac
9998.64	Supplier#009309501	FRANCE	39309500	Manufacturer#5	grulLkz3Enp6IzuDaDo	16-413-657-9342	he blithely express deposits use above the dogg
9998.57	Supplier#003970157	ROMANIA	31470153	Manufacturer#1	EA2DNgjD,LGHkLlfRrb5u YY	29-130-807-3860	press, even dolphins haggle permanently. fluff
9998.57	Supplier#003970157	ROMANIA	78970142	Manufacturer#4	EA2DNgjD,LGHkLlfRrb5u YY	29-130-807-3860	press, even dolphins haggle permanently. fluff
9998.51	Supplier#003360089	RUSSIA	143360088	Manufacturer#2	ox5nj3aZFjUZZDUpqOOUfbl2jVOS	32-627-463-8688	about the fluffily final platelets. bold sheaves slee
9998.5	Supplier#008161252	ROMANIA	143161223	Manufacturer#2	Fcz,mulfPabcdCs7kRT	29-591-622-3159	usual accounts haggle about the quickly
9998.48	Supplier#007133152	ROMANIA	164633135	Manufacturer#4	v W3RdMCg2heDWq13S,wITQgyrPXRPj4Dt	29-750-645-6699	. quickly final packages sleep unusual ideas. furiously bold theodolites
9998.46	Supplier#008479174	FRANCE	183479137	Manufacturer#5	MFgU3zJc8NT	16-642-248-3067	ickly special ideas. fluffily express deposi
9998.45	Supplier#009183595	RUSSIA	149183594	Manufacturer#2	jJ7HFSjewDkw0eBjK BDAR,UEe1l	32-845-595-4831	c platelets could wake after the regular asymptotes. quickly regular foxes wake carefully regular 
9998.36	Supplier#002377577	GERMANY	19877575	Manufacturer#4	tah3HtpdgekAjJ2vEEoeOy9xG4lg	17-775-989-8002	es. bold warthogs snooze furiously slyly r
9998.36	Supplier#000052387	RUSSIA	185052350	Manufacturer#1	LpdenjQxxk5PKWL9J	32-501-422-8682	 haggle slyly final deposits. slyly unusual theodolites boost bli
9998.27	Supplier#002310800	GERMANY	44810787	Manufacturer#4	vM4pJMvuPVfNCPFIl	17-470-891-3647	 special requests! blithely silent foxes wake slyly accounts. final packages wake furiously accord
9998.24	Supplier#009845081	RUSSIA	7345080	Manufacturer#4	UzuNqp1ySYT7r72S0IzGA1	32-721-114-1849	ges sleep slyly against the slyly silent pinto beans. special accounts sleep fl
9998.23	Supplier#003166302	ROMANIA	113166301	Manufacturer#3	Lpio63mB8kyg du	29-962-161-8398	elets sleep carefully pending ideas.
9998.22	Supplier#008155205	GERMANY	143155176	Manufacturer#2	QgtDoyYHsDqWhz99U5UfO7vVpEgQ2ewozL9ec	17-542-953-7895	e carefully among the forges; pending deposits haggle slyl
9998.2	Supplier#002830069	UNITED KINGDOM	187830032	Manufacturer#3	LCVikBkrwOfFV	33-311-551-1255	ages sublate furiously final packages. quick, final decoys at 
9998.16	Supplier#003448343	GERMANY	155948297	Manufacturer#3	cm42mVfr3U6VIDNgyNKysoY,O	17-745-262-8279	ckly special deposits. even, express pinto beans print carefully requests. slyly final
9998.16	Supplier#003448343	GERMANY	160948326	Manufacturer#3	cm42mVfr3U6VIDNgyNKysoY,O	17-745-262-8279	ckly special deposits. even, express pinto beans print carefully requests. slyly final
9998.16	Supplier#005461123	UNITED KINGDOM	22961120	Manufacturer#2	lZU7vnUt9lOGZ9EeKuHWqU,WtFhU8SrqbU0,B	33-165-688-9119	s. slyly ironic deposits affix furiously theodolites. quickly ironic req
9998.15	Supplier#004245585	ROMANIA	174245584	Manufacturer#3	IevcegActMCG7jFgyc63PqP5g6DE8DIevGS3	29-884-113-5153	ss the frets. carefully even ideas use quickly. fur
9998.12	Supplier#000985011	UNITED KINGDOM	165984978	Manufacturer#4	FSOHb08pE AX05N0XzW2qztqCqeX6mVSEMTeem	33-805-183-1506	 kindle according to the asymptotes. blithely slow ideas haggle fluff
9997.99	Supplier#001979599	GERMANY	149479584	Manufacturer#4	JGdELfqh8n,1YjYU1k03jvTb722xv1Gnor	17-174-607-3972	ithely silent packages haggle. final platelets haggle 
9997.98	Supplier#000443912	FRANCE	42943899	Manufacturer#5	ODPr5XL3sdyM w	16-493-470-5845	final packages nag at the ironic, express depths. pa
9997.97	Supplier#000237396	FRANCE	150237395	Manufacturer#1	8ISK9AwEdVo5	16-450-280-7386	s are carefully around the blithely silent platelets; blithely regul
9997.95	Supplier#007994882	GERMANY	152994851	Manufacturer#4	SzfAO3ChpU,OyvsgpZJvgOl3EG,4iHLcHt,ag	17-104-262-4586	ve blithely doggedly final packages. slyly final
9997.95	Supplier#005635729	UNITED KINGDOM	185635728	Manufacturer#2	Qo1E7GitGAd hpSi0VjeKd	33-635-224-2946	uffily silent packages wake about the fluffily bold deposits. warhorses
9997.94	Supplier#005386846	RUSSIA	17886842	Manufacturer#4	IqkQe VJ4kxBhXBIL	32-590-290-3614	unusual ideas engage about the slyly ironic r
9997.92	Supplier#003284872	FRANCE	193284871	Manufacturer#4	gceh,YTLA3fvV9NL,	16-243-378-4768	ve furiously among the instructions. bold packages are express pinto beans. blithely pendi
9997.88	Supplier#004674074	UNITED KINGDOM	152174058	Manufacturer#5	vdS5iqBNA1PQ1bGFXngtkNT0SMf 0aO	33-872-938-9853	lyly ironic instructions are. 
9997.85	Supplier#000718770	ROMANIA	718769	Manufacturer#1	2173woKsCg7zpHCqhiEXFTmYYqpT4XONnRAsUryE	29-663-409-2865	posits sleep across the blithely express requests. 
9997.84	Supplier#008313689	GERMANY	23313684	Manufacturer#2	 4qT6Mky67QnSv5iCg6	17-428-950-8897	eposits. blithely regular platelets integrate blithely even pinto beans.
9997.82	Supplier#005745453	ROMANIA	33245449	Manufacturer#4	bbw,NJnjq2HNSk9mds78MpN0qD19P4YQ7Jo	29-271-332-5453	quests dazzle. quickly ironic deposits shall have to print about the slyly exp
9997.81	Supplier#009215804	ROMANIA	94215785	Manufacturer#1	EJCOPJR66w	29-945-748-7890	cajole carefully above the t
9997.75	Supplier#005509509	FRANCE	509508	Manufacturer#2	EQUkuCpNw3ohvjnQu8UZ2JnydHCS2YLdnsX	16-700-198-2837	nst the slyly even deposits. carefully final accounts sleep
9997.74	Supplier#008943122	ROMANIA	11443118	Manufacturer#3	bosmlVlcRTo	29-954-177-9106	s according to the carefully eve
9997.73	Supplier#008730383	RUSSIA	113730360	Manufacturer#5	QKgw1N3Xd, V2nAjdwZ6j00	32-176-231-1938	nding excuses. furiously sly accounts n
9997.69	Supplier#004895666	UNITED KINGDOM	44895665	Manufacturer#1	a1588uRLt1,	33-859-641-4216	. carefully ironic ideas ca
9997.68	Supplier#007692445	FRANCE	10192441	Manufacturer#2	idcPtRGNMPAnlQ,eQyZeF72IagUB7TB84Sl	16-139-336-5572	 furiously ironic theodolites are. furiously bold accounts affix slyly
9997.68	Supplier#004955479	ROMANIA	107455448	Manufacturer#1	nBjXxn YZzfnkqGVUwpcv	29-808-435-4859	 the slyly regular attainments detect quickly quickly regu
9997.68	Supplier#004955479	ROMANIA	192455459	Manufacturer#2	nBjXxn YZzfnkqGVUwpcv	29-808-435-4859	 the slyly regular attainments detect quickly quickly regu
9997.68	Supplier#004083558	UNITED KINGDOM	16583554	Manufacturer#4	aIsKQ38mr,FarfBLBaCsFZ4iM7Bvp2ARcTPKng	33-527-823-1549	ns. finally express accounts cajole 
9997.65	Supplier#006770288	FRANCE	174270270	Manufacturer#1	5rA9PLAE21NrPSuxz	16-855-586-9704	heodolites sleep slyly across the furiously regular pinto beans. blithely unusual account
9997.64	Supplier#009000416	GERMANY	31500406	Manufacturer#2	ht49TgbxMlPXd,ZDUsDbE8tYGAq5JnCk3g7mpn	17-260-887-8438	instructions affix. furiously ironic requests are carefully instructions. fluffily final instructio
9997.59	Supplier#009908739	ROMANIA	174908704	Manufacturer#5	teWfWXngaj	29-884-115-7066	requests sleep about the carefully ironic packages. pen
9997.58	Supplier#009824039	GERMANY	102324008	Manufacturer#1	,ahnSGkru,9Chpfu5VvR	17-203-917-5644	symptotes use fluffily expr
9997.58	Supplier#000991966	RUSSIA	143491923	Manufacturer#4	IqRrBGCrKrQ2eZ	32-573-261-5414	pinto beans thrash furiously caref
9997.57	Supplier#001712265	ROMANIA	199212245	Manufacturer#5	cBo901jgqwwCJI	29-108-652-9788	ackages cajole carefully. blithely bold courts integrate. furiously even packages cajole 
9997.56	Supplier#007091000	ROMANIA	54590994	Manufacturer#2	8F jn64K,k	29-457-622-5134	press theodolites wake slyly! carefully unusual packages according to the furiously even deposit
9997.54	Supplier#006113859	UNITED KINGDOM	163613842	Manufacturer#4	WFUscd2QHUIjjrGWwoGeuYENy4iaE 1tab	33-370-774-7602	iously regular accounts haggle slyly along the pinto beans. f
